Vehicle ID,Timestep,SoC (%),Charging Power (kW),Discharging Power (kW),Passengers Picked Up,Passengers Delivered,Energy Consumption (kWh),Status,Hour
1,1,79.57842610488618,0,0,1,0,0.42157389511382987,picking up passenger,0
1,2,78.29101117217235,0,0,3,2,1.2874149327138258,picking up passenger,0
1,3,74.64410983034814,0,0,2,1,3.6469013418242096,picking up passenger,0
1,4,74.2257994779099,0,0,1,0,0.41831035243823356,picking up passenger,1
1,5,70.4211321256444,0,0,4,1,3.8046673522654917,picking up passenger,1
1,6,64.29436297918991,0,0,3,3,6.126769146454496,picking up passenger,1
1,7,53.935455950154164,0,0,4,4,10.358907029035747,picking up passenger,1
1,8,51.965709874568596,0,0,2,1,1.9697460755855718,picking up passenger,2
1,9,44.94338433377122,0,0,4,4,7.022325540797379,picking up passenger,2
1,10,44.94338433377122,0,0,0,0,0.0,parked,2
1,11,43.65763095792564,0,0,1,0,1.285753375845583,picking up passenger,2
1,12,41.45314055481199,0,0,4,0,2.204490403113652,picking up passenger,3
1,13,36.10476111351774,0,0,4,1,5.348379441294248,picking up passenger,3
1,14,36.10476111351774,0,0,0,0,0.0,parked,3
1,15,31.570016234785452,0,0,4,2,4.534744878732286,picking up passenger,3
1,16,26.398602603545122,0,0,2,2,5.171413631240331,picking up passenger,4
1,17,23.46138667526545,0,0,3,2,2.9372159282796706,picking up passenger,4
1,18,28.46138667526545,5,0,0,0,0.0,charging,4
1,19,25.488476774131477,0,0,1,1,2.972909901133975,picking up passenger,4
1,20,22.87369470195734,0,0,2,0,2.6147820721741373,picking up passenger,5
1,21,32.46918427142148,10,0,1,0,0.40451043053585634,charging,5
1,22,29.72087740404709,0,0,3,3,2.748306867374393,picking up passenger,5
1,23,29.72087740404709,0,0,0,0,0.0,parked,5
1,24,25.862088304633126,0,0,3,0,3.8587890994139635,picking up passenger,6
1,25,25.862088304633126,0,0,0,0,0.0,parked,6
1,26,20.004243289999625,0,0,3,1,5.857845014633501,picking up passenger,6
1,27,25.004243289999625,5,0,0,0,0.0,charging,6
1,28,23.264948278938522,0,0,3,0,1.7392950110611038,picking up passenger,7
1,29,27.01000819489311,5,0,1,1,1.2549400840454124,charging,7
1,30,21.709222565047277,0,0,4,1,5.300785629845835,picking up passenger,7
1,31,21.709222565047277,0,0,0,0,0.0,parked,7
1,32,19.67338912699436,5,5,2,0,2.0358334380529204,charging,8
1,33,23.551108518041264,5,0,2,2,1.1222806089530926,charging,8
1,34,23.551108518041264,0,0,0,0,0.0,parked,8
1,35,28.551108518041264,5,0,0,0,0.0,charging,8
1,36,28.551108518041264,0,0,0,0,0.0,parked,9
1,37,24.159213769741122,0,0,2,1,4.391894748300143,picking up passenger,9
1,38,24.47916626309442,5,0,4,2,4.680047506646701,charging,9
1,39,26.893312241271886,5,0,2,2,2.5858540218225343,charging,9
1,40,20.397918724591225,0,5,2,0,1.4953935166806605,discharging,10
1,41,17.764660042923026,0,0,2,0,2.6332586816682,picking up passenger,10
1,42,10.542001729851666,5,5,4,1,7.222658313071361,charging,10
1,43,11.179786301084121,5,0,4,1,4.362215428767545,charging,10
1,44,11.179786301084121,0,0,0,0,0.0,parked,11
1,45,6.013994368092772,0,0,4,2,5.1657919329913495,picking up passenger,11
1,46,16.01399436809277,10,0,0,0,0.0,charging,11
1,47,14.219833426067634,0,0,2,2,1.7941609420251372,picking up passenger,11
1,48,14.606882323469655,5,0,3,2,4.612951102597978,charging,12
1,49,21.99403487880705,10,0,2,0,2.6128474446626058,charging,12
1,50,25.111583334130422,5,0,2,2,1.8824515446766261,charging,12
1,51,23.09037922591648,0,0,1,1,2.021204108213945,picking up passenger,12
1,52,22.521740103572984,0,0,1,1,0.5686391223434962,picking up passenger,13
1,53,21.849575565463514,0,0,1,1,0.6721645381094696,picking up passenger,13
1,54,20.97354324629505,5,0,2,2,5.876032319168461,charging,13
1,55,30.0161560984764,10,0,1,0,0.9573871478186488,charging,13
1,56,22.93521867595091,0,0,4,1,7.0809374225254915,picking up passenger,14
1,57,19.344764969372026,0,0,3,0,3.5904537065788853,picking up passenger,14
1,58,27.89353248010488,10,0,2,0,1.4512324892671438,charging,14
1,59,26.291672721952,0,0,1,1,1.601859758152881,picking up passenger,14
1,60,26.291672721952,0,0,0,0,0.0,parked,15
1,61,24.073469902588602,0,0,3,1,2.2182028193633974,picking up passenger,15
1,62,23.161294392055883,5,0,3,3,5.91217551053272,charging,15
1,63,26.667531179394604,5,0,4,1,1.493763212661277,charging,15
1,64,24.01961094094167,0,0,2,2,2.647920238452932,picking up passenger,16
1,65,31.576625885283136,10,0,1,1,2.4429850556585366,charging,16
1,66,30.750269662733142,0,0,3,0,0.8263562225499925,picking up passenger,16
1,67,28.415224680168883,0,0,3,0,2.335044982564259,picking up passenger,16
1,68,24.386103643561736,0,0,4,1,4.029121036607148,picking up passenger,17
1,69,26.098414800943026,5,0,3,3,3.287688842618712,charging,17
1,70,24.00282925160159,0,0,3,2,2.095585549341435,picking up passenger,17
